Event Key,Lane,Path,Communication Event,Trigger,Template Key,Channel Type,Post Mode,Anchor Update Policy,Thread Reply Policy,Reply Broadcast,Send Rule,Severity,Active
project.kickoff,Project,Start,Project kickoff,Project enters managed lifecycle and has owner scope intent and first gate,project-status-update,Project,New Thread,Create Anchor Only,Always Reply,FALSE,Review then send,Medium,TRUE
project.weekly_digest,Project,Heartbeat,Weekly project digest item,Project is active during weekly digest cycle,project-status-update,Project,New Thread,Create Anchor Only,Always Reply,FALSE,Review then send,Medium,TRUE
project.gate_approaching,Project,Happy Path,Gate approaching,Next gate is inside lead time and requires readiness attention,project-gate-update,Project,Reply In Thread,Keep Anchor,Always Reply,FALSE,Review then send,Medium,TRUE
project.gate_passed,Project,Happy Path,Gate passed,Gate is approved or completed,project-status-update,Project,Reply In Thread,Keep Anchor,Always Reply,FALSE,Bundle into weekly digest unless material,Low,TRUE
project.completed,Project,Happy Path,Project completed,Project reaches completion or lifecycle closure,project-status-update,Project,Reply In Thread,Keep Anchor,Always Reply,FALSE,Review then send,Medium,TRUE
project.unexpected_status_change,Project,Sad Path,Unexpected status change,Status confidence risk scope user exposure or stakeholder expectations change materially,project-risk-update,Project,Reply In Thread,Keep Anchor,Always Reply,FALSE,Review then send,High,TRUE
project.timeline_updated,Project,Sad Path,Timeline updated,Next gate release rollout or committed milestone timing changes materially,project-risk-update,Project,Reply In Thread,Keep Anchor,Always Reply,FALSE,Review then send if material; otherwise digest,High,TRUE
project.gate_exception,Project,Sad Path,Gate missed / failed / delayed,Gate misses timing fails readiness or receives no-go or conditional decision,project-escalation,Project,Reply In Thread,Keep Anchor,Always Reply,TRUE,Approval required,High,TRUE
incident.critical.identified,Incident / Bug,Start,Critical bug identified,New bug is critical or existing bug escalates to critical,critical-bug-leadership,Incident,New Thread,Create And Update Anchor,Always Reply,FALSE,Approval required,Critical,TRUE
incident.critical.investigating,Incident / Bug,Happy Path,Investigating,Critical bug investigation is active and owner is assigned,critical-bug-leadership,Incident,Reply In Thread,Create And Update Anchor,Always Reply,TRUE,Review then send,Critical,TRUE
incident.critical.fix_in_progress,Incident / Bug,Happy Path,Fix in progress,Fix owner is assigned and remediation is underway,critical-bug-leadership,Incident,Reply In Thread,Create And Update Anchor,Always Reply,TRUE,Review then send,Critical,TRUE
incident.critical.fix_in_qa,Incident / Bug,Happy Path,Fix in QA,Fix is ready for validation or actively being validated,critical-bug-leadership,Incident,Reply In Thread,Create And Update Anchor,Always Reply,TRUE,Review then send,Critical,TRUE
incident.critical.ready_for_release,Incident / Bug,Happy Path,Fix ready for release,Fix passed validation and is ready to enter release flow,critical-bug-leadership,Incident,Reply In Thread,Create And Update Anchor,Always Reply,TRUE,Review then send,Critical,TRUE
incident.critical.regressed,Incident / Bug,Sad Path,Critical bug state regressed,Bug moves backward in its resolution path,critical-bug-leadership,Incident,Reply In Thread,Create And Update Anchor,Always Reply,TRUE,Review then send,Critical,TRUE
incident.critical.delayed,Incident / Bug,Sad Path,Critical bug delayed,Expected fix QA or release-readiness timing slips materially,critical-bug-leadership,Incident,Reply In Thread,Create And Update Anchor,Always Reply,TRUE,Review then send,Critical,TRUE
incident.critical.fix_failed,Incident / Bug,Sad Path,Fix failed,Attempted fix fails or introduces unacceptable risk,critical-bug-leadership,Incident,Reply In Thread,Create And Update Anchor,Always Reply,TRUE,Approval required,Critical,TRUE
