Lane,Path,Communication Event,Trigger,Template,Primary Audience,Owner,Reviewer / Approver,Send Rule
Project,Start,Project kickoff,"Project enters managed lifecycle and has owner, scope intent, and first gate.",status-update,Project stakeholders,Lead PM,PMO / Product lead if needed,Review then send
Project,Heartbeat,Weekly project digest item,Project is active during weekly digest cycle.,status-update,Leadership and cross-functional stakeholders,Lead PM / TPM,Product or PMO lead,Review then send
Project,Happy Path,Gate approaching,Next gate is inside lead time and requires readiness attention.,go-no-go,Gate participants and accountable leaders,Lead PM / TPM,Gate owner,Review then send
Project,Happy Path,Gate passed,Gate is approved or completed.,status-update,Project stakeholders,Lead PM,Gate owner if material,Bundle into weekly digest unless material
Project,Happy Path,Project completed,"Project reaches completion, release/rollout handoff, or post-release closure.",status-update,Project stakeholders and leadership as needed,Lead PM,Accountable owner,Review then send
Project,Sad Path,Unexpected status change,"Status, confidence, risk, scope, user exposure, or stakeholder expectation changes materially.",risk-update,Project stakeholders and affected leaders,Lead PM,Phase owner,Review then send
Project,Sad Path,Timeline updated,"Next gate ETA, release expectation, rollout timing, or committed milestone changes materially.",risk-update,Project stakeholders and affected leaders,Lead PM,Phase owner,Review then send if material; otherwise digest
Project,Sad Path,Gate missed / failed / delayed,"Gate does not happen as planned, fails readiness, or decision is no-go / conditional.",escalation,Project stakeholders and leadership as needed,Lead PM,Accountable phase owner,Approval required
Incident / Bug,Start,Critical bug identified,"New bug is classified as critical, or existing bug is escalated to critical.",critical-bug-leadership,Leadership and affected phase owners,Communication owner,Phase owner / accountable leader,Approval required unless emergency protocol says send immediately
Incident / Bug,Happy Path,Investigating,Critical bug investigation is active and owner is assigned.,critical-bug-leadership,Prior critical bug audience,Communication owner,Phase owner,Review then send
Incident / Bug,Happy Path,Fix in progress,Fix owner is assigned and remediation is underway.,critical-bug-leadership,Prior critical bug audience,Communication owner,Phase owner,Review then send
Incident / Bug,Happy Path,Fix in QA,Fix is ready for validation or actively being validated.,critical-bug-leadership,Prior critical bug audience,Communication owner,QA owner / phase owner,Review then send
Incident / Bug,Happy Path,Fix ready for release,Fix has passed validation and is ready to enter release flow.,critical-bug-leadership,Prior critical bug audience,Communication owner,Release Owner / phase owner,Review then send; then hand off to release flow
Incident / Bug,Sad Path,Critical bug state regressed,"Bug moves backward, such as Fix in QA back to Investigating or Fix in progress.",critical-bug-leadership,Prior critical bug audience,Communication owner,Phase owner,Review then send
Incident / Bug,Sad Path,Critical bug delayed,"Expected fix, QA, or release-readiness timing slips materially.",critical-bug-leadership,Prior critical bug audience and leadership,Communication owner,Phase owner,Review then send
Incident / Bug,Sad Path,Fix failed,Attempted fix does not resolve issue or introduces unacceptable risk.,critical-bug-leadership,Prior critical bug audience and leadership,Communication owner,Phase owner / accountable leader,Approval required
Stray Story,Start,Stray story submitted,"Story enters intake outside project, bug, or release flow.",stray-story-disposition,Product intake / prioritization group,Scrum PO / intake owner,None,Log only; bundle into prioritization agenda
Stray Story,Heartbeat,Weekly prioritization summary,Weekly prioritization meeting completes.,stray-story-disposition,Prioritization group and requesters as needed,Scrum PO / intake owner,Product intake owner,Review then send
Stray Story,Outcome,Disposition changed,"Story is accepted, rejected, deferred, attached, converted, or reclassified.",stray-story-disposition,"Requester, owner, prioritization group",Scrum PO / intake owner,Product intake owner if material,Auto-send eligible
Stray Story,Outcome,Converted to project,Story becomes managed project.,status-update,"Product, PMO, TPM, affected stakeholders",Product intake owner,PMO / Product lead,Review then send
Stray Story,Outcome,Reclassified as bug / incident,Story becomes bug or incident.,risk-update,Based on criticality,Intake owner,QA / phase owner,Route to bug criticality gate
Production Release,Start,Release scheduled,Release receives a planned production schedule.,release-update,"Release stakeholders, support, operations, impacted teams",Release Owner,Lead PM / QA if needed,Review then send
Production Release,Happy Path,Go / no-go approaching,Release decision window opens.,go-no-go,Release stakeholders and accountable leaders,Release Owner,Decision owner,Approval required
Production Release,Happy Path,Release started,Production release begins.,release-execution,"Release stakeholders, support, operations",Release Owner,None unless high risk,Auto-send eligible
Production Release,Happy Path,Release completed,Production release completes successfully.,release-execution,"Release stakeholders, support, operations, impacted teams",Release Owner,QA / Lead PM if known issues,Review then send
Production Release,Sad Path,Release delayed,"Release schedule changes, misses planned timing, or is delayed during execution.",escalation,Release stakeholders and leadership if material,Release Owner,Accountable release decision owner,Approval required
Production Release,Sad Path,Release rolled back,Release is fully or partially rolled back.,escalation,"Leadership, release stakeholders, support/operations",Release Owner,Accountable leader,Approval required
Production Release,Sad Path,Postmortem needed,"Rollback, critical bug, failed gate, or material issue requires root-cause review.",escalation,Affected phase owners and leadership as needed,Relevant phase owner,Accountable leader,Review then send
